monster	display_name	boss	level	health	mana	actions	draw	preferred_starting_cards	starting_equipment	rule_deck	generated_attack_slots	generated_attack_cards	final_deck	health_source
AirElemental	Air Elemental	False	5	20	5	1	2	LightningStrike		LightningStrike,StormSlash2,StormSlash2,StormSlash1,StormSlash1,StormSlash1,Shock,Shock,ManaSurge,ManaSurge	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	LightningStrike,StormSlash2,StormSlash2,StormSlash1,StormSlash1,StormSlash1,Shock,Shock,ManaSurge,ManaSurge,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
AirElemental	Air Elemental	False	6	30	5	1	2	LightningStrike		LightningStrike,StormSlash2,StormSlash2,StormSlash2,StormSlash2,StormSlash1,Shock,Shock,ManaSurge,ManaSurge	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	LightningStrike,StormSlash2,StormSlash2,StormSlash2,StormSlash2,StormSlash1,Shock,Shock,ManaSurge,ManaSurge,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	HealthValue * health_mult
AirElemental	Air Elemental	False	7	40	5	1	2	LightningStrike		LightningStrike,StormSlash2,StormSlash2,StormSlash2,StormSlash2,StormSlash2,Shock,Shock,ManaSurge,ManaSurge,StormSlash2	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	LightningStrike,StormSlash2,StormSlash2,StormSlash2,StormSlash2,StormSlash2,Shock,Shock,ManaSurge,ManaSurge,StormSlash2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
AirElemental	Air Elemental	False	8	55	5	1	2	LightningStrike		LightningStrike,LightningStrike,StormSlash2,StormSlash2,StormSlash2,StormSlash2,Shock,Shock,ManaSurge,ManaSurge,StormSlash2	13	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	LightningStrike,LightningStrike,StormSlash2,StormSlash2,StormSlash2,StormSlash2,Shock,Shock,ManaSurge,ManaSurge,StormSlash2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
AirElemental	Air Elemental	False	9	70	5	1	2	LightningStrike		LightningStrike,LightningStrike,StormSlash3,StormSlash3,StormSlash2,StormSlash2,Shock,Shock,ManaSurge,ManaSurge,StormSlash2	13	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	LightningStrike,LightningStrike,StormSlash3,StormSlash3,StormSlash2,StormSlash2,Shock,Shock,ManaSurge,ManaSurge,StormSlash2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
AirElemental	Air Elemental	False	10	85	5	1	2	LightningStrike		LightningStrike,LightningStrike,StormSlash3,StormSlash3,StormSlash2,StormSlash2,Shock,Shock,ManaSurge,ManaSurge,StormSlash2,Zap	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	LightningStrike,LightningStrike,StormSlash3,StormSlash3,StormSlash2,StormSlash2,Shock,Shock,ManaSurge,ManaSurge,StormSlash2,Zap,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
AkamiAscendent	Akami Ascendant	True	4	30	5	2	1		ManaTotem,HasteTotem,ShockTotem	ManaTotem,HasteTotem,ShockTotem,ThunderStorm,ThunderStorm,Slow,Slow,Mana3,Mana3,Mana3	5	Attack1,Attack1,Attack2,Attack2,Attack2	ManaTotem,HasteTotem,ShockTotem,ThunderStorm,ThunderStorm,Slow,Slow,Mana3,Mana3,Mana3,Attack1,Attack1,Attack2,Attack2,Attack2	HealthValue * health_mult
AkamiAscendent	Akami Ascendant	True	5	40	5	2	1		ManaTotem,HasteTotem,ShockTotem	ManaTotem,HasteTotem,ShockTotem,ThunderStorm,ThunderStorm,Slow,Slow,ManaSurge,Overload,Mana3	8	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	ManaTotem,HasteTotem,ShockTotem,ThunderStorm,ThunderStorm,Slow,Slow,ManaSurge,Overload,Mana3,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
AkamiAscendent	Akami Ascendant	True	6	60	5	2	1		ManaTotem,HasteTotem,ShockTotem	ManaTotem,HasteTotem,ShockTotem,ThunderStorm,ThunderStorm,Slow,Slow,ManaSurge,Overload,Electrocute,Solidify,Shock	8	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	ManaTotem,HasteTotem,ShockTotem,ThunderStorm,ThunderStorm,Slow,Slow,ManaSurge,Overload,Electrocute,Solidify,Shock,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	HealthValue * health_mult
AkamiAscendent	Akami Ascendant	True	7	80	5	2	1		ManaTotem,HasteTotem,ShockTotem	ManaTotem,HasteTotem,ShockTotem,ThunderStorm,ThunderStorm,Slow,Slow,ManaSurge,Overload,Electrocute,Solidify,Shock,StormShape,Haste	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3	ManaTotem,HasteTotem,ShockTotem,ThunderStorm,ThunderStorm,Slow,Slow,ManaSurge,Overload,Electrocute,Solidify,Shock,StormShape,Haste,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
